0.1,
0.1914,
0.175361,
-0.152364,
-0.15421,
0.106912,
-0.690401,
-0.17565,
-0.217562,
-0.372718,
0.0933217,
-0.25204,
0.141953,
0.014244,
0.103575,
0.397993,
-0.630519,
-0.707924,
0.0752517,
0.112486,
0.372934,
0.202927,
-0.499484,
0.699784,
-0.80981,
0.602932,
-0.855119,
0.871986,
0.0080986,
0.106986,
0.47132,
0.106759,
0.727602,
-0.118092,
-0.110213,
-0.247613,
0.0723011,
0.283542,
-0.91397,
-1.17345,
-0.465031,
-0.285415,
-0.0156558,
-0.271929,
0.354271,
-0.0673688,
0.36939,
0.075326,
-0.0779964,
-0.403485,
-0.00102228,
0.151699,
-0.167259,
-0.439124,
0.0456112,
-0.332952,
-0.102762,
-0.377578,
0.0108949,
-0.126824,
-0.62035,
0.32443,
0.156069,
0.372427,
-0.653497,
-0.647103,
-0.73647,
-0.689237,
-0.164937,
0.0211646,
-0.177978,
0.255557,
-0.338364,
0.564961,
-0.177354,
-0.0251236,
0.978806,
-0.452592,
-0.187873,
-0.321321,
-0.384498,
0.0811439,
0.229635,
0.25667,
-0.381803,
-0.261512,
-0.996058,
-0.585098,
-0.555596,
-0.274808,
0.0803138,
-0.134761,
-0.0297634,
-0.307469,
0.109362,
-0.971658,
0.285948,
0.15611,
-0.0863901,
-0.421488,
-0.532186,
-0.3472,
-1.34538,
-0.0600127,
0.182992,
-0.239777,
0.572828,
-0.855986,
-0.233703,
-0.220895,
-0.388545,
-0.394802,
-0.0500674,
-0.184113,
-0.581852,
0.10247,
-0.318266,
0.188643,
-0.243819,
0.276451,
-0.740473,
-0.0519369,
-0.772312,
-0.918016,
-0.567781,
0.0422281,
-0.584792,
-0.266181,
-0.547994,
-0.961139,
-0.218512,
-0.779306,
-1.13387,
-0.469109,
-0.568942,
0.0506462,
0.0683957,
-0.691637,
0.835602,
0.445721,
-0.250073,
-0.0802804,
-0.596401,
0.0487286,
0.390997,
-0.571001,
-0.869189,
-0.374408,
-0.263326,
-0.0513586,
-0.549372,
-0.48217,
0.393392,
0.0250527,
0.00437438,
0.226281,
-0.48752,
0.0927286,
-0.406825,
-0.0686195,
-0.640267,
0.0495982,
-0.474672,
-0.156219,
-0.113406,
-0.27644,
0.339607,
0.412409,
-0.433489,
0.220233,
0.134692,
0.223319,
-0.055332,
0.19291,
0.0270758,
-0.422108,
0.0733619,
-0.586766,
-0.242012,
-0.491222,
-0.458217,
-0.258955,
-0.461128,
-0.23784,
0.18202,
-0.424069,
-0.0301255,
-0.812812,
-0.820719,
-0.506915,
-0.212153,
-0.117723,
-0.935888,
-0.848192,
0.183585,
0.19497,
0.093568,
-0.235445,
-0.106776,
0.0163542,
0.0411379,
-0.357211,
-0.284445,
-0.343395,
-0.459645,
-0.262946,
0.168384,
0.095795,
-0.28383,
0.796861,
-0.662975,
-0.209098,
-1.13915,
0.0501377,
0.401454,
0.317793,
-0.31797,
-0.573082,
0.500275,
-0.0638292,
0.633073,
-0.225117,
-0.563333,
-0.317814,
0.399612,
-0.969659,
-0.813339,
0.0918564,
-0.0181648,
0.353555,
0.0856731,
-0.646919,
-0.052654,
-0.0134578,
-0.0845615,
